Molécula,Entorno,Temperatura (K),ZPE (eV),H_tot (eV),S_tot (kcal/mol·K),G_tot (eV)
aminofenol,water,298.1,3.14689,-633.37222,0.02093,-633.64278
aminofenol,water,353.1,3.14689,-633.2961,0.02497,-633.67853
aminofenol,water,373.1,3.14689,-633.26568,0.02647,-633.69394
aminofenol,gas,298.1,3.15887,-633.04273,0.02095,-633.31358
aminofenol,gas,353.1,3.15887,-632.96683,0.02498,-633.34936
aminofenol,gas,373.1,3.15887,-632.93651,0.02647,-633.36478
anhídrido_acético,water,298.1,2.58069,-645.97437,0.03268,-646.39685
anhídrido_acético,water,353.1,2.58069,-645.90117,0.03652,-646.46042
anhídrido_acético,water,373.1,2.58069,-645.87252,0.0379,-646.4858
anhídrido_acético,gas,298.1,2.59714,-645.64562,0.02795,-646.00694
anhídrido_acético,gas,353.1,2.59714,-645.57743,0.03143,-646.05879
anhídrido_acético,gas,373.1,2.59714,-645.55065,0.0327,-646.07971
acido_acetico,water,298.1,1.60323,-392.04727,0.01621,-392.25686
acido_acetico,water,353.1,1.60323,-392.005,0.01786,-392.27852
acido_acetico,water,373.1,1.60323,-391.98842,0.01848,-392.28739
acido_acetico,gas,298.1,1.62007,-391.70097,0.01679,-391.918
acido_acetico,gas,353.1,1.62007,-391.6589,0.01842,-391.94101
acido_acetico,gas,373.1,1.62007,-391.64242,0.01903,-391.95036
acetaminofen,water,298.1,4.17908,-888.03847,0.03782,-888.52747
acetaminofen,water,353.1,4.17908,-887.93119,0.04408,-888.60618
acetaminofen,water,373.1,4.17908,-887.88851,0.04635,-888.6385
acetaminofen,gas,298.1,4.19795,-887.57917,0.03782,-888.06818
acetaminofen,gas,353.1,4.19795,-887.47227,0.04405,-888.14686
acetaminofen,gas,373.1,4.19795,-887.42975,0.04631,-888.17915
molecula_intermedia,water,298.1,5.84221,-1280.05956,0.06216,-1280.86322
molecula_intermedia,water,353.1,5.84221,-1279.90292,0.07191,-1281.00417
molecula_intermedia,water,373.1,5.84221,-1279.84085,0.07541,-1281.06117
molecula_intermedia,gas,298.1,5.87722,-1279.52211,0.06262,-1280.33169
molecula_intermedia,gas,353.1,5.87722,-1279.36671,0.07228,-1280.47363
molecula_intermedia,gas,373.1,5.87722,-1279.3051,0.07576,-1280.53093
